ID,Name,Score
21526319,Randi Pritchett,2.52
21521922,Patsy Schneider,4.52
21528238,Paul Hardy,0.49
21528649,Bobby Walker,2.02
21521492,Felix Corwin,9.35
21522788,Julie Stewart,6.64
21523745,Angela Billings,2.98
21521533,Ray Lee,4.07
21526799,Gloria Monreal,1.4
21523268,Jerry Clemons,6.9
21525422,Terry Pyle,0.18
21524656,Alejandro Monteith,3.29
21524837,Eric Payton,7.2
21524584,Jennifer Daley,0.61
21527979,David Crosby,6.68
21521996,Pamela Emerson,5.59
21524888,Myrtle Walker,6.6
21524732,Alice Dunn,3.21
21529979,Stefan Hufton,2.92
21524311,Thomas Kelly,5.51
21524997,David Reece,0.33
21526787,Gloria Endicott,2.1
21526318,Everett Bakker,9.01
21529673,Vincent Johnson,7.03
21526664,Rudolph Hook,8.02
21528642,Dawn Baker,4.17
21527785,Brenda Tuttle,7.2
21526147,Elliott Lampkin,5.18
21523776,Bernie Morrissey,7.45
21522396,Maria Mandel,3.31
21524961,Rita Noyer,3.95
21524352,Karen Fellows,8.98
21525378,Ricky Hayes,6.84
21524545,Robert Swain,4.49
21529114,Sylvia Chevalier,0.24
21526844,Frank Lester,3.99
21522678,Thelma Budde,9.06
21522723,Mary Daniels,5.48
21528924,Antoinette Moss,2.88
21522673,Cedric Jackson,4.94
21525256,Julia Maresca,8.15
21528332,Susan Bowser,5.8
21521925,Michelle Orellana,9.0
21526474,Lisa Fifield,5.53
21529189,Joseph Carroll,4.18
21525968,Marianne Hernandez,1.69
21529983,Cary Sanez,5.21
21523397,Cynthia Rhoden,3.28
21527739,Diane Holcomb,3.68
21523726,Claud Walters,3.36
21526226,Eugene Vance,1.1
21527759,Robert Mixson,6.43
21524992,Jessie Reynolds,6.37
21526364,Francisco Lopez,6.59
21528884,Walter Savage,1.87
21524528,Stephen Sloan,0.97
21529672,Berniece Williams,8.17
21526873,Raeann Browning,5.41
21529613,Kathryn Smith,7.48
21528351,Timothy Chappell,9.03
21529477,Christina Murphy,9.26
21528267,James Lunn,8.66
21521532,Shirley Lorenz,8.25
21525287,Thomas Harvey,3.92
21527691,Sarah Scales,9.26
21523395,Maria Kane,7.91
21526935,Kelly Dardar,5.31
21521563,Mary Bormann,0.21
21523534,Jennifer Powell,8.83
21521926,Ethan Harris,6.39
21528869,Elizabeth Maldonado,5.24
21525393,Jonathan Bernard,8.23
21524532,Joseph Godbey,3.21
21528254,Elizabeth Bonin,9.24
21523719,Leontine Dickerson,5.26
21527678,Matthew Flores,2.71
21527671,Lucille Tennon,0.81
21524325,Cathy Limerick,3.64
21526336,Elizabeth Kellam,9.42
21525535,James Hughes,5.17
21522219,Caleb Martinez,4.5
21522198,Bonnie Mickell,3.56
21523283,Shelley Copeland,3.07
21528593,Amy Fahey,9.88
21527212,Theo Servant,6.86
21529453,Elizabeth Goree,8.66
21523676,Cora Williams,2.39
21526678,Stephanie Montgomery,4.24
21525463,Maria Melody,7.19
21529735,Kelly Simmons,9.59
21524954,Anthony Hernandez,9.04
21524116,Jeannette Marineau,8.72
21522671,Gregory Galvan,5.17
21526944,Thomas Newsome,6.31
21522791,David Israel,1.8
21525714,Elva Tilson,4.98
21529735,John Stubbs,3.44
21524712,Albertha Besecker,3.15
21525913,Pamela Taylor,9.19
21526455,Jannie Helbig,7.7
