ID,Name,Score
508,Junior Williams,7.57
290,Carolyn Calvert,9.04
546,Joseph Ward,5.67
372,Lorretta Pince,1.39
385,Leona Sporle,2.74
875,John Mannella,4.55
388,Vivian Fagan,1.17
866,Max Ambrose,7.08
630,Heidi Frentzel,1.27
847,Cheryl Raymond,0.53
662,Jacqueline Wright,1.89
689,Ellen Loffler,2.3
913,Sharon Melroy,2.85
305,Leon Wyatt,5.55
705,Jessie Boggio,5.95
375,Alan Atherton,3.58
347,Juan Backlund,1.44
441,Theodore Priest,2.37
566,Elaine Blanding,1.79
446,Tami Tarango,3.55
695,Jerome Brown,4.43
995,Christopher Tatum,7.68
815,Ruby Holloway,5.02
288,Carol Lee,3.39
352,Frederick Franks,7.25
263,Walter Doyle,5.36
805,Matthew Thorne,6.91
260,Sharon Fowler,0.57
827,Rebeca Caldwell,1.82
856,Christal Bubier,4.41
